"","Louvain_0","Louvain_1","Louvain_2","Louvain_3","Louvain_4","Louvain_5","Louvain_6","Louvain_7","Louvain_8","Louvain_9","Louvain_10","Louvain_11","Louvain_12"
"cl148_e36_Mmel1_L4",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl149_i36_Aqp6_Vip",0.0017825311942959,0,0,0,0,0,0,0,0,0,0,0.05,0
"cl150_e36_Car3_L6_IT",0.0071301247771836,0.0183908045977011,0.0172413793103448,0.00413223140495868,0.0179372197309417,0,0,0,0,0,0,0,0
"cl151_i35_Gpr63_Lamp5",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl152_e35_Elf2_L5_IT",0.0035650623885918,0,0,0,0,0,0,0,0,0,0,0,0
"cl153_i35_Mir384_Pvalb",0.0017825311942959,0,0,0,0,0,0,0,0.0266666666666667,0,0.0196078431372549,0,0
"cl155_i35_Tubb6_Vip",0,0,0.0028735632183908,0,0,0,0,0,0,0,0,0,0
"cl156_e35_Gpr139_L6_CT",0.0124777183600713,0,0.0114942528735632,0.00826446280991736,0,0.0149253731343284,0,0,0,0,0,0,0
"cl158_i35_Cyp2s1_Sst",0,0,0,0,0,0,0,0.0116279069767442,0,0,0,0,0
"cl16_n148_Cml3_Astro",0.0071301247771836,0.00689655172413793,0.0028735632183908,0.00413223140495868,0,0,0.008,0.0581395348837209,0,0,0,0,0
"cl160_i34_NA_Pvalb",0,0,0,0,0,0,0,0,0.0133333333333333,0.0147058823529412,0,0,0
"cl161_i34_Spsb2_Vip",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl162_e33_Gpr52_L6_IT",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl163_e33_Nxf7_L4",0.0017825311942959,0,0,0.00413223140495868,0,0,0,0,0,0,0,0,0
"cl164_i33_Adra2a_Vip",0,0,0.0028735632183908,0,0,0,0,0,0,0,0,0,0
"cl165_n33_Kdelr3_VLMC",0.0124777183600713,0.00459770114942529,0,0.0206611570247934,0.0134529147982063,0.0149253731343284,0,0,0,0,0.274509803921569,0,0
"cl166_i33_Has2os_Sst",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl167_e33_Efcc1_L6_CT",0.0071301247771836,0.00229885057471264,0,0,0.00448430493273543,0.0149253731343284,0,0,0,0,0,0,0
"cl169_i32_Wif1_Pvalb",0.0017825311942959,0,0,0,0,0,0.008,0,0.0533333333333333,0,0,0,0
"cl17_e147_Gng12_L6_CT",0.0499108734402852,0.00919540229885057,0.21264367816092,0.0619834710743802,0.00896860986547085,0.104477611940299,0,0.0116279069767442,0,0,0,0,0
"cl170_i32_Rps27rt_Vip",0.0071301247771836,0.00229885057471264,0,0.00413223140495868,0,0,0,0,0.0133333333333333,0,0,0,0
"cl172_e31_Htr6_L6_IT",0,0,0,0,0.0179372197309417,0,0,0,0,0,0,0,0
"cl174_e30_Zfp433_L4",0.0017825311942959,0,0,0,0,0,0,0,0,0,0,0,0
"cl177_n30_Slc8b1_Astro",0,0,0,0,0,0,0,0.0116279069767442,0,0,0,0,0
"cl178_i30_Sesn3_Lamp5",0.0035650623885918,0.00459770114942529,0,0.00413223140495868,0,0.0149253731343284,0.008,0,0.0266666666666667,0,0,0,0
"cl179_e29_Cldn23_L5_PT",0,0.00229885057471264,0,0,0,0,0,0,0,0,0,0,0
"cl18_i146_Car4_Vip",0.0106951871657754,0.00689655172413793,0,0,0.00896860986547085,0,0,0.0116279069767442,0.0266666666666667,0,0,0.075,0
"cl180_i29_Nr1h4_Sncg",0.0035650623885918,0,0,0,0,0,0,0,0,0,0,0,0.272727272727273
"cl181_e28_Nfkbid_L23_IT",0.0017825311942959,0.0160919540229885,0,0.00413223140495868,0.00448430493273543,0,0,0,0,0,0,0,0
"cl182_i28_Snord42b_Pvalb",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl184_n28_Pf4_Macrophage",0.0017825311942959,0.00229885057471264,0,0.00413223140495868,0.00448430493273543,0.0149253731343284,0,0,0,0,0,0,0
"cl185_i27_Slc4a7_Pvalb",0,0,0.0028735632183908,0,0,0,0,0,0.0133333333333333,0.0147058823529412,0,0,0
"cl186_e26_Zfp882_L4",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl187_e26_Teddm2_L6_CT",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl188_i26_Cgn_Pvalb",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl189_e26_C1ql2_L5_PT",0,0,0.0114942528735632,0.00413223140495868,0.00448430493273543,0,0,0,0,0,0,0,0
"cl190_e26_Cdh15_L5_PT",0.0017825311942959,0,0.00574712643678161,0,0,0,0,0,0,0,0,0,0
"cl191_e26_Chadl_L6_IT",0,0,0,0,0.00448430493273543,0,0,0,0,0,0,0,0
"cl192_i26_Trim71_Sst",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl196_e24_Zfp781_L4",0,0.00229885057471264,0.0028735632183908,0,0,0,0,0,0,0,0,0,0
"cl197_e24_Cfap54_L23_IT",0,0.00229885057471264,0,0,0,0,0,0,0,0,0,0,0
"cl198_i24_Bard1_Vip",0.0017825311942959,0,0,0,0,0,0,0,0,0,0,0.025,0
"cl2_e381_Rgs2_L6_IT",0.0374331550802139,0.0160919540229885,0.00862068965517241,0.0289256198347107,0.251121076233184,0.0447761194029851,0,0,0,0,0,0,0
"cl20_e142_Rap2a_L5_PT",0,0.00459770114942529,0.172413793103448,0.00826446280991736,0.00448430493273543,0,0.008,0.0116279069767442,0,0,0,0,0
"cl202_i24_Ccdc121_Sst",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl205_e23_Zfp28_L5_NP",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl206_i23_Dmrt2_Sst",0,0,0,0,0,0,0.008,0,0,0,0,0,0
"cl207_i23_Phf8_Sst",0,0,0,0,0,0,0.008,0,0,0,0,0,0
"cl209_e22_Nphs1_L6_IT",0.0017825311942959,0,0,0,0,0,0,0,0,0,0,0,0
"cl21_i137_Thumpd2_Sst",0.0017825311942959,0,0,0,0,0,0.072,0,0,0,0,0,0
"cl210_e22_Spaca6_L23_IT",0.0017825311942959,0.00689655172413793,0,0,0,0,0,0,0,0,0,0,0
"cl211_e22_Ascl5_L23_IT",0,0.00689655172413793,0,0,0,0,0,0,0,0,0,0,0
"cl212_i22_Cemip_Pvalb",0,0.00229885057471264,0,0,0,0,0,0,0,0.0147058823529412,0,0,0
"cl213_i22_Dnhd1_Pvalb",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl214_e22_Rttn_L6_CT",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl217_e22_Dnah14_L6_IT",0.0017825311942959,0.00229885057471264,0.0028735632183908,0,0.00896860986547085,0,0,0,0,0,0,0,0
"cl218_e22_P4ha3_L6_IT",0,0,0,0,0.00448430493273543,0,0,0,0,0,0,0,0
"cl219_n22_Pdzph1_Astro",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl22_i134_Esrrg_Pvalb",0.0017825311942959,0.00459770114942529,0.0028735632183908,0,0,0,0.008,0.0116279069767442,0.08,0.426470588235294,0,0,0
"cl221_i22_NA_Vip",0,0,0,0,0,0,0,0,0,0,0,0.025,0
"cl223_i22_Rxfp3_Sst",0,0,0,0,0,0,0.04,0,0,0,0,0,0
"cl226_e21_TrnL1_L23_IT",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl227_i21_Pla2g4e_Lamp5",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl228_e21_Rev1_L6_CT",0,0,0.0028735632183908,0,0,0.0149253731343284,0,0,0,0,0,0,0
"cl23_i132_Myh13_Sst",0.0017825311942959,0.00689655172413793,0.0028735632183908,0.00413223140495868,0,0,0.072,0,0,0,0,0,0
"cl230_i21_Brca2_Pvalb",0,0,0,0,0,0,0,0,0,0.0147058823529412,0,0,0
"cl231_i21_Gramd1c_Vip",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl232_i21_Spc25_Sst",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl233_i21_Grem2_Lamp5",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl234_i21_Srd5a1_Lamp5",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl236_e21_Arg2_L5_NP",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl238_i20_Cldn1_Lamp5",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl239_i20_Casp9_Pvalb",0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0
"cl240_i20_Sall1_Vip",0,0.00229885057471264,0,0,0.00448430493273543,0,0.008,0,0,0,0,0,0
"cl241_i20_Fv1_Pvalb",0,0,0,0,0,0,0.008,0,0.0133333333333333,0.0294117647058824,0,0,0
"cl242_i19_Emilin2_Sst",0.0017825311942959,0,0,0,0,0,0,0,0,0,0,0,0
"cl246_i20_Igsf1_Sst",0,0,0,0,0,0,0,0,0,0,0,0,0
"cl247_e20_Pah_L5_IT",0.0124777183600713,0.00229885057471264,0,0,0,0,0,0,0,0,0,0,0
"cl248_i20_Lsmem1_Sst",0,0,0,0,0,0,0.016,0,0,0,0,0,0
"cl249_i20_Tacr3_Sst",0,0,0,0,0,0,0,0,0,0,0,0,0
