clusterName,f-measure,True Negative ,False Positive,False Negative,True Positive,markerCount,,1,2,3,4,5,6,index
L6 CT Nxph2 Sla,0.606060606,14222,1,9,4,2,,Ceacam9,Sema5a,nan,nan,nan,nan,L6 CT Nxph2 Sla&Ceacam9>=108.95415496826172&Sema5a>=102.89021301269531
L6 CT VISp Ctxn3 Brinp3,0.595134666,13876,81,142,137,5,,Foxp2,Igfbp4,Lamp5,Meis2,Syt6,nan,L6 CT VISp Ctxn3 Brinp3&Foxp2>=63.917747497558594&Igfbp4>=489.4775390625&Lamp5>=141.3779296875&Meis2>=60.12961196899414&Syt6>=2.442629814147949
L6 CT VISp Ctxn3 Sla,0.663716814,13857,68,146,165,4,,Fezf2,Foxp2,Meis2,Prss23,nan,nan,L6 CT VISp Ctxn3 Sla&Fezf2>=38.93696594238281&Foxp2>=105.10850524902344&Meis2>=21.534259796142578&Prss23>=42.714195251464844
L6 CT VISp Gpr139,0.714285714,14164,6,36,30,2,,Lsp1,Syt6,nan,nan,nan,nan,L6 CT VISp Gpr139&Lsp1>=56.82663345336914&Syt6>=160.05538940429688
L6 CT VISp Krt80 Sla,0.523349436,13989,38,144,65,4,,Dmkn,Foxp2,Prss23,Sulf1,nan,nan,L6 CT VISp Krt80 Sla&Dmkn>=0.6139085292816162&Foxp2>=41.340675354003906&Prss23>=46.61366653442383&Sulf1>=0.7027121782302856
L6 CT VISp Nxph2 Wls,0.621621622,14155,4,54,23,4,,Fezf2,Foxp2,Nxph2,Tox,nan,nan,L6 CT VISp Nxph2 Wls&Fezf2>=154.32090759277344&Foxp2>=6.828131198883057&Nxph2>=0.7368298768997192&Tox>=38.95289611816406
L6 IT ALM Oprk1,1,14235,0,0,1,2,,Col15a1,Dmkn,nan,nan,nan,nan,L6 IT ALM Oprk1&Col15a1>=65.08517456054688&Dmkn>=194.7587890625
L6 IT VISp Car3,0.947712418,14162,0,16,58,2,,Car3,Nr4a2,nan,nan,nan,nan,L6 IT VISp Car3&Car3>=4.005348205566406&Nr4a2>=1026.110595703125
L6 IT VISp Col18a1,0.746924429,14046,13,92,85,3,,Cd24a,Il1rapl2,Pdgfc,nan,nan,nan,L6 IT VISp Col18a1&Cd24a>=34.96099853515625&Il1rapl2>=1.1418962478637695&Pdgfc>=0.5021925568580627
L6 IT VISp Col23a1 Adamts2,0.61965812,13808,54,229,145,3,,Adamts2,C1ql3,Rxfp1,nan,nan,nan,L6 IT VISp Col23a1 Adamts2&Adamts2>=0.6797106862068176&C1ql3>=32.16143798828125&Rxfp1>=87.72505187988281
L6 IT VISp Penk Col27a1,0.771367521,13011,189,314,722,3,,Blnk,C1ql3,Ptpru,nan,nan,nan,L6 IT VISp Penk Col27a1&Blnk>=41.56340789794922&C1ql3>=3.3789713382720947&Ptpru>=1.9732328653335571
L6 IT VISp Penk Fst,0.456171735,13992,37,156,51,3,,C1ql3,Fosb,Fst,nan,nan,nan,L6 IT VISp Penk Fst&C1ql3>=106.42461395263672&Fosb>=2.587491989135742&Fst>=2.2567505836486816
L6 NP ALM Trh,0.833333333,14234,0,1,1,2,,Chrm2,Cntnap5b,nan,nan,nan,nan,L6 NP ALM Trh&Chrm2>=491.61346435546875&Cntnap5b>=139.8779754638672
L6b Col8a1 Rprm,0.495867769,14122,35,43,36,3,,Bmpr1b,Foxp2,Lsp1,nan,nan,nan,L6b Col8a1 Rprm&Bmpr1b>=0.4741988778114319&Foxp2>=29.934738159179688&Lsp1>=0.6474218368530273
L6b Hsd17b2,0.789473684,14229,0,4,3,3,,Clrn1,Rgs5,Slc17a8,nan,nan,nan,L6b Hsd17b2&Clrn1>=34.06601333618164&Rgs5>=140.10275268554688&Slc17a8>=4.903132438659668
L6b P2ry12,0.900900901,14183,3,10,40,2,,Cplx3,Lypd1,nan,nan,nan,nan,L6b P2ry12&Cplx3>=1689.6441650390625&Lypd1>=243.39297485351562
L6b VISp Col8a1 Rxfp1,0.700934579,14169,9,28,30,4,,Cplx3,Foxp2,Nxph4,Prss12,nan,nan,L6b VISp Col8a1 Rxfp1&Cplx3>=2056.96630859375&Foxp2>=7.5379719734191895&Nxph4>=48.30473709106445&Prss12>=162.78741455078125
L6b VISp Crh,0.677570093,14177,13,17,29,2,,Col24a1,Cplx3,nan,nan,nan,nan,L6b VISp Crh&Col24a1>=74.99859619140625&Cplx3>=1819.173095703125
L6b VISp Mup5,0.798611111,14094,22,28,92,3,,Nr4a2,Nxph4,Tmem163,nan,nan,nan,L6b VISp Mup5&Nr4a2>=342.2423095703125&Nxph4>=37.015350341796875&Tmem163>=214.73974609375
Lamp5 Fam19a1 Pax6,0.669014085,14188,6,23,19,3,,Col14a1,Cxcl14,Teddm3,nan,nan,nan,Lamp5 Fam19a1 Pax6&Col14a1>=59.670654296875&Cxcl14>=1280.9072265625&Teddm3>=56.90422821044922
Lamp5 Fam19a1 Tmem182,0.575539568,14182,7,31,16,4,,Egln3,Reln,Tac2,Teddm3,nan,nan,Lamp5 Fam19a1 Tmem182&Egln3>=144.336669921875&Reln>=708.199951171875&Tac2>=22.357746124267578&Teddm3>=51.998512268066406
Lamp5 Krt73,0.769230769,14194,1,23,18,3,,Cobll1,Npsr1,Sp8,nan,nan,nan,Lamp5 Krt73&Cobll1>=1.1176023483276367&Npsr1>=3.72700834274292&Sp8>=8.316650390625
Lamp5 Lhx6,0.701754386,14189,1,30,16,3,,Nkain3,Nos1,Pde11a,nan,nan,nan,Lamp5 Lhx6&Nkain3>=29.358783721923828&Nos1>=192.51470947265625&Pde11a>=83.70942687988281
Lamp5 Lsp1,0.735479798,13737,51,215,233,3,,Nos1,Pde11a,Sema5a,nan,nan,nan,Lamp5 Lsp1&Nos1>=22.703227996826172&Pde11a>=86.5847396850586&Sema5a>=133.63063049316406
Lamp5 Ntn1 Npy2r,0.619307832,14031,24,113,68,3,,Cplx3,Egln3,Ndst4,nan,nan,nan,Lamp5 Ntn1 Npy2r&Cplx3>=179.00372314453125&Egln3>=23.45049285888672&Ndst4>=26.88372039794922
Lamp5 Plch2 Dock5,0.711442786,13890,29,174,143,3,,Cplx3,Ndst4,Pde11a,nan,nan,nan,Lamp5 Plch2 Dock5&Cplx3>=402.3372802734375&Ndst4>=1.4154655933380127&Pde11a>=5.744630813598633
Meis2 Adamts19,0.925925926,14190,1,10,35,1,,Scgn,nan,nan,nan,nan,nan,Meis2 Adamts19&Scgn>=550.2566528320312
Microglia Siglech,0.982142857,14191,1,0,44,1,,Ctss,nan,nan,nan,nan,nan,Microglia Siglech&Ctss>=3699.510498046875
OPC Pdgfra Ccnb1,1,14233,0,0,3,1,,Ccnb1,nan,nan,nan,nan,nan,OPC Pdgfra Ccnb1&Ccnb1>=857.6530151367188
OPC Pdgfra Grm5,0.75,14207,1,16,12,2,,Pdgfra,Sox10,nan,nan,nan,nan,OPC Pdgfra Grm5&Pdgfra>=1162.55126953125&Sox10>=394.6007080078125
Oligo Rassf10,1,14235,0,0,1,1,,Tmem163,nan,nan,nan,nan,nan,Oligo Rassf10&Tmem163>=1516.6717529296875
Oligo Serpinb1a,0.752212389,14182,12,8,34,2,,Opalin,Tnfaip6,nan,nan,nan,nan,Oligo Serpinb1a&Opalin>=333.4336853027344&Tnfaip6>=299.1281433105469
Oligo Synpr,0.777777778,14219,0,10,7,3,,Adamts4,Daam2,Opalin,nan,nan,nan,Oligo Synpr&Adamts4>=118.72679138183594&Daam2>=33.985862731933594&Opalin>=2927.01904296875
PVM Mrc1,1,14229,0,0,7,1,,Mrc1,nan,nan,nan,nan,nan,PVM Mrc1&Mrc1>=1288.46630859375
Peri Kcnj8,0.9375,14204,0,8,24,2,,Kcnj8,Rgs5,nan,nan,nan,nan,Peri Kcnj8&Kcnj8>=239.7572479248047&Rgs5>=1476.677001953125
Pvalb Akr1c18 Ntf3,0.496183206,14169,4,50,13,4,,Lama3,Myh14,Nos1,Pvalb,nan,nan,Pvalb Akr1c18 Ntf3&Lama3>=0.45613569021224976&Myh14>=14.206986427307129&Nos1>=40.4670524597168&Pvalb>=427.238037109375
Pvalb Calb1 Sst,0.396825397,14123,34,54,25,3,,Moxd1,Nnmt,Tcap,nan,nan,nan,Pvalb Calb1 Sst&Moxd1>=92.34712219238281&Nnmt>=11.974987030029297&Tcap>=44.069000244140625
Pvalb Gabrg1,0.916149068,14153,1,23,59,2,,Tcap,Th,nan,nan,nan,nan,Pvalb Gabrg1&Tcap>=74.52684783935547&Th>=1091.635009765625
Pvalb Gpr149 Islr,0.663716814,14075,17,84,60,4,,Chrm2,Prss23,Pvalb,Tcap,nan,nan,Pvalb Gpr149 Islr&Chrm2>=15.334375381469727&Prss23>=280.28985595703125&Pvalb>=333.8475341796875&Tcap>=83.65773010253906
